"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1654801,16548,"NH1","Hampton Airfield",1401,14,"US",42,42.96250000,70,-70.82861111,
1654802,16548,"NH1","Hampton Airfield",1401,14,"US",42,42.96138889,70,-70.83027778,
1654901,16549,"TX9","Winters Municipal",7401,74,"US",31,31.94722222,99,-99.98583333,
1655001,16550,"BW1","Thebephatshwa",51001,510,"BW",24,-24.22111111,25,25.34722222,
1655101,16551,"FMM","Memmingen Airport",42902,429,"DE",47,47.98888889,10,10.23944444,
1655102,16551,"FMM","Memmingen Airport",42902,429,"DE",47,47.98944444,10,10.24083333,
1655201,16552,"NC8","Burlington Alamance Regional",3601,36,"US",36,36.04861111,79,-79.47500000,
1655202,16552,"NC8","Burlington Alamance Regional",3601,36,"US",36,36.04972222,79,-79.47305556,
1655203,16552,"NC8","Burlington Alamance Regional",3601,36,"US",36,36.04861111,79,-79.47500000,
1655204,16552,"NC8","Burlington Alamance Regional",3601,36,"US",36,36.04972222,79,-79.47305556,
1655301,16553,"ME4","Oxford County Regional",1201,12,"US",44,44.15750000,70,-70.48138889,
1655401,16554,"KVD","Ganja Airport",40701,407,"AZ",40,40.73833333,46,46.31888889,
1655402,16554,"KVD","Ganja Airport",40701,407,"AZ",40,40.73888889,46,46.32000000,
1655403,16554,"KVD","Ganja Airport",40701,407,"AZ",40,40.73833333,46,46.31888889,
1655404,16554,"KVD","Ganja Airport",40701,407,"AZ",40,40.73888889,46,46.32000000,
1655501,16555,"JWY","Mid Way Regional",7401,74,"US",32,32.45833333,96,-96.91250000,
1655601,16556,"FCN","Nordholz Airport",42902,429,"DE",53,53.76750000,8,8.65861111,
1655701,16557,"AF3","Dwyer Airport",70101,701,"AF",31,31.09194444,64,64.06694444,
1655702,16557,"AF3","Dwyer Airport",70101,701,"AF",31,31.08972222,64,64.06638889,
1655703,16557,"AF3","Dwyer Airport",70101,701,"AF",31,31.09194444,64,64.06694444,
1655801,16558,"LA2","Hammond Northshore Regional",7201,72,"US",30,30.52166667,90,-90.41833333,
1655901,16559,"AF4","Shindand Airport",70101,701,"AF",33,33.39222222,62,62.26111111,
1656001,16560,"OR4","Bend Municipal",9201,92,"US",44,44.09444444,121,-121.20027778,
1656101,16561,"AZ5","Springerville Municipal",8101,81,"US",34,34.12944444,109,-109.31083333,
1656102,16561,"AZ5","Springerville Municipal",8101,81,"US",34,34.11805556,109,-109.31083333,
1656103,16561,"AZ5","Springerville Municipal",8101,81,"US",34,34.12944444,109,-109.31083333,
1656201,16562,"IN5","Hindon Airport",73301,733,"IN",28,28.70777778,77,77.35888889,
